ガ,カ,ﾞ
ギ,キ,ﾞ
グ,ク,ﾞ
ゲ,ケ,ﾞ
ゴ,コ,ﾞ
ザ,サ,ﾞ
ジ,シ,ﾞ
ズ,ス,ﾞ
ゼ,セ,ﾞ
ゾ,ソ,ﾞ
ダ,タ,ﾞ
ヂ,チ,ﾞ
ヅ,ツ,ﾞ
デ,テ,ﾞ
ド,ト,ﾞ
バ,ハ,ﾞ
ビ,ヒ,ﾞ
ブ,フ,ﾞ
ベ,ヘ,ﾞ
ボ,ホ,ﾞ
ヴ,ウ,ﾞ
パ,ハ,ﾟ
ピ,ヒ,ﾟ
プ,フ,ﾟ
ペ,ヘ,ﾟ
ポ,ホ,ﾟ
